"id","latitude","longitude","loc_name","loc_name_la","type_location_id","provinces_id","districts_id","villages_id","user_id","status"
"334","20.2781","100.416",,"ວັດຈອມເຂົາມະນີລັດ",,"5","29",,,
"335","20.2518","100.425",,"ວັດພະທາດຜ້າຄຳ",,"5","29",,,
"336","20.4128","100.851",,"ຕະຫຼາດຊຸມຊົນບ້ານດອນໃຈ",,"5","29",,,
"340","20.4025","100.324",,"ຕາດນ້ຳຍອນ",,"5","29",,,
"345","20.4725","100.801",,"ປ່າສະຫງວນນ້ຳກ່ານ",,"5","29",,,
"455","20.2136757","100.4518467",,"ຂົວມິດຕະພາບ ແຫ່ງທີ່ 4",,"5","29",,,
"456","20.2582","100.457",,"ຫໍຫຼັກເມືອງ",,"5","29",,,
"461","20.3678","100.365",,"ຜາພຣະເມືອງຫ້ວຍຊາຍ",,"5","29",,,
"347","20.5117","100.255",,"ບໍ່ນ້ຳຮ້ອນຫົວນ້ຳເກິ່ງ",,"5","30",,,
"457","20.4043","100.259",,"ຫີນຊີວະລີງ",,"5","30",,,
"460","20.4043","100.259",,"ບໍ່ນ້ຳຮ້ອນບ້ານນ້ຳເກິ່ງເກົ່າ",,"5","30",,,
"453","20.5836","100.589",,"ຖ້ຳນ້ຳຍູ້",,"5","31",,,
"454","20.713","100.23",,"ບໍ່ນ້ຳຮ້ອນປຸ່ງເລາະ",,"5","31",,,
