"id","latitude","longitude","loc_name","loc_name_la","type_location_id","provinces_id","districts_id","villages_id","user_id","status"
"108","20.9705","101.381","That Poumpouk Stupa","ພະທາດປູມປຸກ",,"3","17",,,
"109","20.949","101.402",,"ວັດຫຼວງຂອນ",,"3","17",,,
"110","21.0078","101.408",,"ພະທາດຫຼວງນ້ຳທາ",,"3","17",,,
"112","21.0034","101.41",,"ຕະຫຼາດກາງຄືນ",,"3","17",,,
"124","20.9702","101.437",,"ນ້ຳຕົກຕາດບ້ານນ້ຳທຸງ",,"3","17",,,
"125","21.1254","101.654",,"ຕາດຫ້ວຍຜາຫີນປູນ",,"3","17",,,
"126","21.0512","101.594",,"ນ້ຳຕົກຕາດຫ້ວຍດຳ",,"3","17",,,
"117","21.1568","101.113",,"ວັດນ້ຳດ້າຍ",,"3","18",,,
"119","21.2001","101.146",,"ວັດຫົວຂົວ",,"3","18",,,
"127","21.159","101.164",,"ນ້ຳຕົກຕາດນ້ຳແກ້ວ ເມືອງສິງ",,"3","18",,,
"647","21.1893","101.15",,"ວັດຫຼວງຊຽງໄຈ",,"3","18",,,
"131","21.163","101.209",,"ນ້ຳຕົກຕາດຫ້ວຍນ້ຳແກ້ວ",,"3","19",,,
"132","20.7209","101.142",,"ຖ້ຳນ້ຳແອງ ຫຼື ຖ້ຳເກົາເຣົາ ເມືອງວຽງພູຄາ",,"3","20",,,
