"id","latitude","longitude","loc_name","loc_name_la","type_location_id","provinces_id","districts_id","villages_id","user_id","status"
"158","20.6885","101.985",,"ທາດໄຊມຸງຄຸນລັດຕະນະມິ່ງເມືອງ",,"4","22",,,
"163","20.7325","101.952",,"ບ້ານເຜົ່າກຶມມຸ",,"4","22",,,
"178","20.7068","101.781",,"ຖ້ຳຈອມອອງ",,"4","22",,,
"179","20.7213","102.053",,"ຕາດນ້ຳກັດ",,"4","22",,,
"180","20.6761","101.934",,"ອ່າງນ້ຳຫີນບ້ານຫ້ວຍອຸ່ນ",,"4","22",,,
"183","20.6197","101.995",,"ຕາດຫຼັກ 11",,"4","22",,,
"187","20.5694","101.73",,"ນ້ຳຕົກຕາດຈົງ",,"4","22",,,
"159","20.8701","102.112",,"ວັດພະເຈົ້າສິງຄຳ",,"4","23",,,
"165","20.7782","102.063",,"ຖ້ຳພະເຈົ້າສິງຄຳ",,"4","23",,,
"190","20.8596","102.05",,"ຕາດຫ້ວຍໄຄ້",,"4","23",,,
"191","20.7985","102.058",,"ຖ້ຳຫຼວງ",,"4","23",,,
"186","20.8173","101.778",,"ຖ້ຳມົກແຝກ",,"4","24",,,
"188","20.8806","101.786",,"ນ້ຳລອດພູ",,"4","24",,,
"192","20.9321","101.787",,"ບໍ່ນ້ຳອຸ່ນ ບ້ານປາງສາ",,"4","24",,,
"189","20.2157","102.099",,"ຖ້ຳຫ້ວຍກູດ",,"4","25",,,
"174","20.4842","101.652",,"ຖ້ຳເຊື້ອງຄວາຍ (ຢາມແງດ) ບ້ານກຳ ເມືອງແບງ",,"4","26",,,
"182","20.4086","101.767",,"ຕາດນ້ຳແຈ",,"4","26",,,
"195","20.5439","101.641",,"ຖ້ຳຫຼວງ ບ້ານກັນວາງ ເມືອງແບງ",,"4","26",,,
"177","20.0698","101.261",,"ນ້ຳຕົກຕາດນ້ຳແຮງ",,"4","27",,,
"197","20.101","101.575",,"ຕາດຕະແລ",,"4","27",,,
"198","20.1544","101.503",,"ຖ້ຳດູກ",,"4","27",,,
"199","20.2151","101.402",,"ຖ້ຳມືດ",,"4","27",,,
"200","20.2151","101.402",,"ນ້ຳຕົກຕາດດວງດາວ",,"4","27",,,
"201","20.1915","101.425",,"ຕາດຫ້ວຍເລີຍ",,"4","27",,,
"176","19.9519","101.813",,"ວັດສີຈອມແຈ້ງ",,"4","28",,,
"184","19.8431","101.051",,"ຖ້ຳພະເຈົ້າຄຳຕັນ",,"4","28",,,
